Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Unidades de medida;Total
Total Nacional;07 Castilla y León;40 Segovia;Ambos sexos;Personas;153.626
Total Nacional;07 Castilla y León;40 Segovia;Hombres;Personas;77.152
Total Nacional;07 Castilla y León;40 Segovia;Mujeres;Personas;76.474
Total Nacional;07 Castilla y León;42 Soria;Ambos sexos;Personas;88.796
Total Nacional;07 Castilla y León;42 Soria;Hombres;Personas;44.939
Total Nacional;07 Castilla y León;42 Soria;Mujeres;Personas;43.857
Total Nacional;07 Castilla y León;47 Valladolid;Ambos sexos;Personas;519.380
Total Nacional;07 Castilla y León;47 Valladolid;Hombres;Personas;252.999
Total Nacional;07 Castilla y León;47 Valladolid;Mujeres;Personas;266.381
Total Nacional;07 Castilla y León;49 Zamora;Ambos sexos;Personas;169.165
Total Nacional;07 Castilla y León;49 Zamora;Hombres;Personas;83.824
Total Nacional;07 Castilla y León;49 Zamora;Mujeres;Personas;85.341
Total Nacional;08 Castilla - La Mancha;;Ambos sexos;Personas;2.052.505
Total Nacional;08 Castilla - La Mancha;;Hombres;Personas;1.028.696
Total Nacional;08 Castilla - La Mancha;;Mujeres;Personas;1.023.809
Total Nacional;08 Castilla - La Mancha;02 Albacete;Ambos sexos;Personas;386.726
Total Nacional;08 Castilla - La Mancha;02 Albacete;Hombres;Personas;193.487
Total Nacional;08 Castilla - La Mancha;02 Albacete;Mujeres;Personas;193.239
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Ambos sexos;Personas;492.900
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Hombres;Personas;244.112
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Mujeres;Personas;248.788
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Ambos sexos;Personas;196.510
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Hombres;Personas;98.748
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Mujeres;Personas;97.762
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Ambos sexos;Personas;265.969
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Hombres;Personas;134.874
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Mujeres;Personas;131.095
Total Nacional;08 Castilla - La Mancha;45 Toledo;Ambos sexos;Personas;710.400
Total Nacional;08 Castilla - La Mancha;45 Toledo;Hombres;Personas;357.475
Total Nacional;08 Castilla - La Mancha;45 Toledo;Mujeres;Personas;352.925
Total Nacional;09 Cataluña;;Ambos sexos;Personas;7.749.896
Total Nacional;09 Cataluña;;Hombres;Personas;3.814.823
Total Nacional;09 Cataluña;;Mujeres;Personas;3.935.073
Total Nacional;09 Cataluña;08 Barcelona;Ambos sexos;Personas;5.702.262
Total Nacional;09 Cataluña;08 Barcelona;Hombres;Personas;2.785.890
Total Nacional;09 Cataluña;08 Barcelona;Mujeres;Personas;2.916.372
Total Nacional;09 Cataluña;17 Girona;Ambos sexos;Personas;784.941
Total Nacional;09 Cataluña;17 Girona;Hombres;Personas;393.369
Total Nacional;09 Cataluña;17 Girona;Mujeres;Personas;391.572
Total Nacional;09 Cataluña;25 Lleida;Ambos sexos;Personas;439.258
Total Nacional;09 Cataluña;25 Lleida;Hombres;Personas;224.011
Total Nacional;09 Cataluña;25 Lleida;Mujeres;Personas;215.247
Total Nacional;09 Cataluña;43 Tarragona;Ambos sexos;Personas;823.435
Total Nacional;09 Cataluña;43 Tarragona;Hombres;Personas;411.553
Total Nacional;09 Cataluña;43 Tarragona;Mujeres;Personas;411.882
Total Nacional;10 Comunitat Valenciana;;Ambos sexos;Personas;5.067.911
Total Nacional;10 Comunitat Valenciana;;Hombres;Personas;2.497.752
Total Nacional;10 Comunitat Valenciana;;Mujeres;Personas;2.570.159
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Ambos sexos;Personas;1.887.036
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Hombres;Personas;935.234
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Mujeres;Personas;951.802
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Ambos sexos;Personas;587.632
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Hombres;Personas;291.857
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Mujeres;Personas;295.775
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Ambos sexos;Personas;2.593.243
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Hombres;Personas;1.270.661
